"condition","std","replication","seed"
2,0,32,623
3,0,32,624
0,0.15,32,625
1,0.15,32,626
2,0.15,32,627
3,0.15,32,628
0,0.3,32,629
1,0.3,32,630
2,0.3,32,631
3,0.3,32,632
0,0.45,32,633
1,0.45,32,634
2,0.45,32,635
3,0.45,32,636
0,0.6,32,637
1,0.6,32,638
2,0.6,32,639
3,0.6,32,640
0,0,33,641
1,0,33,642
2,0,33,643
3,0,33,644
0,0.15,33,645
1,0.15,33,646
2,0.15,33,647
3,0.15,33,648
0,0.3,33,649
1,0.3,33,650
2,0.3,33,651
3,0.3,33,652
0,0.45,33,653
1,0.45,33,654
2,0.45,33,655
3,0.45,33,656
0,0.6,33,657
1,0.6,33,658
2,0.6,33,659
3,0.6,33,660
0,0,34,661
1,0,34,662
2,0,34,663
3,0,34,664
0,0.15,34,665
1,0.15,34,666
2,0.15,34,667
3,0.15,34,668
0,0.3,34,669
1,0.3,34,670
2,0.3,34,671
3,0.3,34,672
0,0.45,34,673
1,0.45,34,674
2,0.45,34,675
3,0.45,34,676
0,0.6,34,677
1,0.6,34,678
2,0.6,34,679
3,0.6,34,680
0,0,35,681
1,0,35,682
2,0,35,683
3,0,35,684
0,0.15,35,685
1,0.15,35,686
2,0.15,35,687
3,0.15,35,688
0,0.3,35,689
1,0.3,35,690
2,0.3,35,691
3,0.3,35,692
0,0.45,35,693
1,0.45,35,694
2,0.45,35,695
3,0.45,35,696
0,0.6,35,697
1,0.6,35,698
2,0.6,35,699
3,0.6,35,700
0,0,36,701
1,0,36,702
2,0,36,703
3,0,36,704
0,0.15,36,705
1,0.15,36,706
2,0.15,36,707
3,0.15,36,708
0,0.3,36,709
1,0.3,36,710
2,0.3,36,711
3,0.3,36,712
0,0.45,36,713
1,0.45,36,714
2,0.45,36,715
3,0.45,36,716
0,0.6,36,717
1,0.6,36,718
2,0.6,36,719
3,0.6,36,720
0,0,37,721
1,0,37,722
2,0,37,723
3,0,37,724
0,0.15,37,725
1,0.15,37,726
2,0.15,37,727
3,0.15,37,728
0,0.3,37,729
1,0.3,37,730
2,0.3,37,731
3,0.3,37,732
0,0.45,37,733
1,0.45,37,734
2,0.45,37,735
3,0.45,37,736
0,0.6,37,737
1,0.6,37,738
2,0.6,37,739
3,0.6,37,740
0,0,38,741
1,0,38,742
2,0,38,743
3,0,38,744
0,0.15,38,745
1,0.15,38,746
2,0.15,38,747
3,0.15,38,748
0,0.3,38,749
1,0.3,38,750
2,0.3,38,751
3,0.3,38,752
0,0.45,38,753
1,0.45,38,754
2,0.45,38,755
3,0.45,38,756
0,0.6,38,757
1,0.6,38,758
2,0.6,38,759
3,0.6,38,760
0,0,39,761
1,0,39,762
2,0,39,763
3,0,39,764
0,0.15,39,765
1,0.15,39,766
2,0.15,39,767
3,0.15,39,768
0,0.3,39,769
1,0.3,39,770
2,0.3,39,771
3,0.3,39,772
0,0.45,39,773
1,0.45,39,774
2,0.45,39,775
3,0.45,39,776
0,0.6,39,777
1,0.6,39,778
2,0.6,39,779
3,0.6,39,780
0,0,40,781
1,0,40,782
2,0,40,783
3,0,40,784
0,0.15,40,785
1,0.15,40,786
2,0.15,40,787
3,0.15,40,788
0,0.3,40,789
1,0.3,40,790
2,0.3,40,791
3,0.3,40,792
0,0.45,40,793
1,0.45,40,794
2,0.45,40,795
3,0.45,40,796
0,0.6,40,797
1,0.6,40,798
2,0.6,40,799
3,0.6,40,800
0,0,41,801
1,0,41,802
2,0,41,803
3,0,41,804
0,0.15,41,805
1,0.15,41,806
2,0.15,41,807
3,0.15,41,808
0,0.3,41,809
1,0.3,41,810
2,0.3,41,811
3,0.3,41,812
0,0.45,41,813
1,0.45,41,814
2,0.45,41,815
3,0.45,41,816
0,0.6,41,817
1,0.6,41,818
2,0.6,41,819
3,0.6,41,820
0,0,42,821
1,0,42,822
2,0,42,823
3,0,42,824
0,0.15,42,825
1,0.15,42,826
2,0.15,42,827
3,0.15,42,828
0,0.3,42,829
1,0.3,42,830
2,0.3,42,831
3,0.3,42,832
0,0.45,42,833
1,0.45,42,834
2,0.45,42,835
3,0.45,42,836
0,0.6,42,837
1,0.6,42,838
2,0.6,42,839
3,0.6,42,840
0,0,43,841
1,0,43,842
2,0,43,843
3,0,43,844
0,0.15,43,845
1,0.15,43,846
2,0.15,43,847
3,0.15,43,848
0,0.3,43,849
1,0.3,43,850
2,0.3,43,851
3,0.3,43,852
0,0.45,43,853
1,0.45,43,854
2,0.45,43,855
3,0.45,43,856
0,0.6,43,857
1,0.6,43,858
2,0.6,43,859
3,0.6,43,860
0,0,44,861
1,0,44,862
2,0,44,863
3,0,44,864
0,0.15,44,865
1,0.15,44,866
2,0.15,44,867
3,0.15,44,868
0,0.3,44,869
1,0.3,44,870
2,0.3,44,871
3,0.3,44,872
0,0.45,44,873
1,0.45,44,874
2,0.45,44,875
3,0.45,44,876
0,0.6,44,877
1,0.6,44,878
2,0.6,44,879
3,0.6,44,880
0,0,45,881
1,0,45,882
2,0,45,883
3,0,45,884
0,0.15,45,885
1,0.15,45,886
2,0.15,45,887
3,0.15,45,888
0,0.3,45,889
1,0.3,45,890
2,0.3,45,891
3,0.3,45,892
0,0.45,45,893
1,0.45,45,894
2,0.45,45,895
3,0.45,45,896
0,0.6,45,897
1,0.6,45,898
2,0.6,45,899
3,0.6,45,900
0,0,46,901
1,0,46,902
2,0,46,903
3,0,46,904
0,0.15,46,905
1,0.15,46,906
2,0.15,46,907
3,0.15,46,908
0,0.3,46,909
1,0.3,46,910
2,0.3,46,911
3,0.3,46,912
0,0.45,46,913
1,0.45,46,914
2,0.45,46,915
3,0.45,46,916
0,0.6,46,917
1,0.6,46,918
2,0.6,46,919
3,0.6,46,920
0,0,47,921
1,0,47,922
2,0,47,923
3,0,47,924
0,0.15,47,925
1,0.15,47,926
2,0.15,47,927
3,0.15,47,928
0,0.3,47,929
1,0.3,47,930
2,0.3,47,931
3,0.3,47,932
0,0.45,47,933
1,0.45,47,934
2,0.45,47,935
3,0.45,47,936
0,0.6,47,937
1,0.6,47,938
2,0.6,47,939
3,0.6,47,940
0,0,48,941
1,0,48,942
2,0,48,943
3,0,48,944
0,0.15,48,945
1,0.15,48,946
2,0.15,48,947
3,0.15,48,948
0,0.3,48,949
1,0.3,48,950
2,0.3,48,951
3,0.3,48,952
0,0.45,48,953
1,0.45,48,954
2,0.45,48,955
3,0.45,48,956
0,0.6,48,957
1,0.6,48,958
2,0.6,48,959
3,0.6,48,960
0,0,49,961
1,0,49,962
2,0,49,963
3,0,49,964
0,0.15,49,965
1,0.15,49,966
2,0.15,49,967
3,0.15,49,968
0,0.3,49,969
1,0.3,49,970
2,0.3,49,971
3,0.3,49,972
0,0.45,49,973
1,0.45,49,974
2,0.45,49,975
3,0.45,49,976
0,0.6,49,977
1,0.6,49,978
2,0.6,49,979
3,0.6,49,980
0,0,50,981
1,0,50,982
2,0,50,983
3,0,50,984
0,0.15,50,985
1,0.15,50,986
2,0.15,50,987
3,0.15,50,988
0,0.3,50,989
1,0.3,50,990
2,0.3,50,991
3,0.3,50,992
0,0.45,50,993
1,0.45,50,994
2,0.45,50,995
3,0.45,50,996
0,0.6,50,997
1,0.6,50,998
2,0.6,50,999
3,0.6,50,1000
