"condition","std","replication","seed"
2,0.45,28,831
3,0.45,28,832
4,0.45,28,833
5,0.45,28,834
0,0.6,28,835
1,0.6,28,836
2,0.6,28,837
3,0.6,28,838
4,0.6,28,839
5,0.6,28,840
0,0,29,841
1,0,29,842
2,0,29,843
3,0,29,844
4,0,29,845
5,0,29,846
0,0.15,29,847
1,0.15,29,848
2,0.15,29,849
3,0.15,29,850
4,0.15,29,851
5,0.15,29,852
0,0.3,29,853
1,0.3,29,854
2,0.3,29,855
3,0.3,29,856
4,0.3,29,857
5,0.3,29,858
0,0.45,29,859
1,0.45,29,860
2,0.45,29,861
3,0.45,29,862
4,0.45,29,863
5,0.45,29,864
0,0.6,29,865
1,0.6,29,866
2,0.6,29,867
3,0.6,29,868
4,0.6,29,869
5,0.6,29,870
0,0,30,871
1,0,30,872
2,0,30,873
3,0,30,874
4,0,30,875
5,0,30,876
0,0.15,30,877
1,0.15,30,878
2,0.15,30,879
3,0.15,30,880
4,0.15,30,881
5,0.15,30,882
0,0.3,30,883
1,0.3,30,884
2,0.3,30,885
3,0.3,30,886
4,0.3,30,887
5,0.3,30,888
0,0.45,30,889
1,0.45,30,890
2,0.45,30,891
3,0.45,30,892
4,0.45,30,893
5,0.45,30,894
0,0.6,30,895
1,0.6,30,896
2,0.6,30,897
3,0.6,30,898
4,0.6,30,899
5,0.6,30,900
0,0,31,901
1,0,31,902
2,0,31,903
3,0,31,904
4,0,31,905
5,0,31,906
0,0.15,31,907
1,0.15,31,908
2,0.15,31,909
3,0.15,31,910
4,0.15,31,911
5,0.15,31,912
0,0.3,31,913
1,0.3,31,914
2,0.3,31,915
3,0.3,31,916
4,0.3,31,917
5,0.3,31,918
0,0.45,31,919
1,0.45,31,920
2,0.45,31,921
3,0.45,31,922
4,0.45,31,923
5,0.45,31,924
0,0.6,31,925
1,0.6,31,926
2,0.6,31,927
3,0.6,31,928
4,0.6,31,929
5,0.6,31,930
0,0,32,931
1,0,32,932
2,0,32,933
3,0,32,934
4,0,32,935
5,0,32,936
0,0.15,32,937
1,0.15,32,938
2,0.15,32,939
3,0.15,32,940
4,0.15,32,941
5,0.15,32,942
0,0.3,32,943
1,0.3,32,944
2,0.3,32,945
3,0.3,32,946
4,0.3,32,947
5,0.3,32,948
0,0.45,32,949
1,0.45,32,950
2,0.45,32,951
3,0.45,32,952
4,0.45,32,953
5,0.45,32,954
0,0.6,32,955
1,0.6,32,956
2,0.6,32,957
3,0.6,32,958
4,0.6,32,959
5,0.6,32,960
0,0,33,961
1,0,33,962
2,0,33,963
3,0,33,964
4,0,33,965
5,0,33,966
0,0.15,33,967
1,0.15,33,968
2,0.15,33,969
3,0.15,33,970
4,0.15,33,971
5,0.15,33,972
0,0.3,33,973
1,0.3,33,974
2,0.3,33,975
3,0.3,33,976
4,0.3,33,977
5,0.3,33,978
0,0.45,33,979
1,0.45,33,980
2,0.45,33,981
3,0.45,33,982
4,0.45,33,983
5,0.45,33,984
